species,nobs,taxonKeys,Kingdom,Phylum,Class,Order,Family,Genus,analyzed,NativeStatus
Coenobita clypeatus,1195,5178542,Animalia,Arthropoda,Malacostraca,Decapoda,Coenobitidae,Coenobita,no,
Coenonympha tullia,6648,1911112,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,yes,
Colaptes chrysoides,37418,2478248,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,yes,
Coleonyx variegatus,1535,2447244,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Coleonyx,yes,
Colias eurytheme,15792,5137694,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias,yes,
Colias philodice,6482,5137672,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias,yes,
Colinus virginianus,233455,9791464,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,yes,Exotic
Colletes inaequalis,1630,1348821,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,Colletes,yes,
Colonus hesperus,652,8217818,Animalia,Arthropoda,NA,Araneae,Salticidae,Colonus,yes,
Coluber constrictor,9261,6161776,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,yes,
Coluber flagellum,4492,4287637,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,yes,
Coluber lateralis,1179,8202136,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,yes,
Columbina inca,396397,2495863,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,yes,
Columbina passerina,415327,2495869,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,yes,
Conoderus bellus,381,6984247,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,yes,
Conoderus lividus,660,6984229,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,yes,
Contia tenuis,780,2455975,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Contia,yes,
Contopus cooperi,260674,5229743,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,yes,
Contopus pertinax,52010,5229730,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,yes,
Contopus sordidulus,602806,5229754,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,yes,
Contopus virens,1655833,5229734,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,yes,
Copaeodes minima,1140,1942526,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Copaeodes,yes,
Copelatus glyphicus,145,1038642,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Copelatus,yes,
Copestylum mexicanum,828,1543768,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Copestylum,yes,
Cophosaurus texanus,3169,2451472,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Cophosaurus,yes,
Coragyps atratus,2588737,2481942,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,yes,
Corbicula fluminea,14800,8190231,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,no,
Cordulegaster dorsalis,705,1421176,Animalia,Arthropoda,Insecta,Odonata,Cordulegastridae,Cordulegaster,yes,
Cornu aspersum,14504,5858758,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,yes,Exotic
Corvus caurinus,340826,2482523,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,yes,
Corvus cryptoleucus,75581,2482500,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,yes,
Corvus ossifragus,1558815,2482481,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,yes,
Corynactis californica,358,2260687,Animalia,Cnidaria,Anthozoa,Corallimorpharia,Corallimorphidae,Corynactis,no,
Cosmopepla lintneriana,1863,2078882,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Cosmopepla,yes,
Costaconvexa centrostrigaria,4585,4524223,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Costaconvexa,yes,
Cotinis mutabilis,3097,1077513,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Cotinis,yes,
Cotinis nitida,3031,1077495,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Cotinis,yes,
Crambus agitatellus,3389,1880083,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Crambus,yes,
Crambus laqueatellus,619,1880078,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Crambus,yes,
Crambus praefectellus,1233,1880132,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Crambus,yes,
Crassostrea virginica,1770,2286079,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,no,
Crematogaster laeviuscula,726,1324376,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,yes,
Crepidula fornicata,1668,5192789,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,no,
Crocodylus acutus,2641,2441329,Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodylus,yes,
Crotalus atrox,7713,2444356,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,yes,
Crotalus oreganus,7394,2444446,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,yes,
Crotalus pyrrhus,881,9290992,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,yes,
Crotalus ruber,1491,2444393,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,yes,
Crotalus viridis,2571,8945077,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,yes,
Crotaphytus collaris,3612,2470616,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,yes,
Crucibulum spinosum,201,5192769,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crucibulum,no,
Cryptothelea gloverii,307,1854143,Animalia,Arthropoda,Insecta,Lepidoptera,Psychidae,Cryptothelea,yes,
Ctenolepisma lineata,470,1421095,Animalia,Arthropoda,Insecta,Zygentoma,Lepismatidae,Ctenolepisma,yes,
Ctenolepisma longicaudata,419,1421100,Animalia,Arthropoda,Insecta,Zygentoma,Lepismatidae,Ctenolepisma,yes,
Ctenosaura similis,6233,2459603,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,yes,Exotic
Ctenucha virginica,4376,1814843,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Ctenucha,yes,
Cucumaria miniata,855,5188234,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,no,
Cuerna costalis,578,2031659,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Cuerna,yes,
Culex pipiens,89335,1652991,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,yes,
Culex restuans,11463,1652927,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,yes,
Cultellunguis americanus,61,6067020,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cultellunguis,yes,
Curtara insularis,229,2041870,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Curtara,yes,
Cyanea ferruginea,486,5185438,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,no,
Cyaniris neglecta,3278,5139064,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cyaniris,yes,
Cyanocitta stelleri,1262455,2482598,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,yes,
Cyanoplax hartwegii,242,4305098,Animalia,Mollusca,Polyplacophora,Chitonida,Lepidochitonidae,Cyanoplax,no,
Cycloneda polita,720,1043108,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cycloneda,yes,
Cycloneda sanguinea,3617,1043105,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cycloneda,yes,
Cyclophora nanaria,1124,5149753,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Cyclophora,yes,
Cyclosa turbinata,468,2158261,Animalia,Arthropoda,NA,Araneae,Araneidae,Cyclosa,yes,
Cyclosa walckenaeri,56,2158178,Animalia,Arthropoda,NA,Araneae,Araneidae,Cyclosa,yes,
Cydalima perspectalis,66,4532122,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Cydalima,yes,
Cydia caryana,351,1737904,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,yes,
Cydia latiferreana,1990,1737964,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,yes,
Cygnus buccinator,358586,2498345,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,yes,
Cygnus columbianus,304209,2498338,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,yes,
Cygnus olor,789777,2498343,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,yes,Exotic
Cymaenes tripunctus,320,1947037,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Cymaenes,yes,
Cynanthus latirostris,155341,5228542,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,yes,
Cynips douglasi,576,1309670,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Cynips,yes,
Cynomys ludovicianus,2602,2437232,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,yes,
Cysteodemus wislizeni,245,1046246,Animalia,Arthropoda,Insecta,Coleoptera,Meloidae,Cysteodemus,yes,
Cystiphora sonchi,42,9811001,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Cystiphora,yes,
Daktulosphaira vitifoliae,511,2049512,Animalia,Arthropoda,Insecta,Hemiptera,Phylloxeridae,Daktulosphaira,yes,
Danaus eresimus,1572,5714302,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,yes,
Danaus gilippus,13143,5714299,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,yes,
Danaus plexippus,217077,5133088,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,yes,
Dasychira meridionalis,360,1820940,Animalia,Arthropoda,Insecta,Lepidoptera,Lymantriidae,Dasychira,yes,
Dasymutilla occidentalis,2611,1312356,Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Dasymutilla,yes,
Dasymutilla vestita,590,10232545,Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Dasymutilla,yes,
Dasypus novemcinctus,9272,2440779,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,yes,Exotic
Deidamia inscriptum,927,5124050,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deidamia,yes,
Delphinia picta,4276,1523573,Animalia,Arthropoda,Insecta,Diptera,Ulidiidae,Delphinia,yes,
Dendragapus fuliginosus,26316,7340146,Animalia,Chordata,Aves,Galliformes,Phasianidae,Dendragapus,yes,
Dendraster excentricus,1686,2279084,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,no,
Dendrocygna autumnalis,402622,2498393,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,yes,
Dendronotus iris,206,2292075,Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,no,
Dermacentor variabilis,3254,2183465,Animalia,Arthropoda,NA,Ixodida,Ixodidae,Dermacentor,yes,
Dermasterias imbricata,2065,2271961,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,no,
Derobrachus hovorei,178,1100102,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Derobrachus,yes,
Deroceras laeve,869,5781358,Animalia,Mollusca,Gastropoda,Stylommatophora,Agriolimacidae,Deroceras,yes,
Deroceras reticulatum,2969,5781277,Animalia,Mollusca,Gastropoda,Stylommatophora,Agriolimacidae,Deroceras,yes,Exotic
Desmognathus conanti,904,2431237,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,yes,
Diabrotica undecimpunctata,10779,1048501,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Diabrotica,yes,
Diadophis punctatus,11703,8763701,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Diadophis,yes,
Diaprepes abbreviatus,604,5010133,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Diaprepes,yes,Exotic
Diastictis fracturalis,1109,5127378,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Diastictis,yes,  
Diaulula sandiegensis,1104,2292473,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Diaulula,no,
Dicamptodon ensatus,671,2432020,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,yes,
Dicamptodon tenebrosus,878,2432022,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,yes,
Dichromorpha viridis,1783,1704465,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Dichromorpha,yes,
Dicromantispa interrupta,813,2107995,Animalia,Arthropoda,Insecta,Neuroptera,Mantispidae,Dicromantispa,yes,
Dicymolomia julianalis,746,1884997,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Dicymolomia,yes,
Didelphis virginiana,16321,2439923,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,yes,PartiallyExotic
Didymops transversa,1579,5052244,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Didymops,yes,
Dioctria hyalipennis,805,8373618,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Dioctria,yes,
Discus rotundatus,451,2294144,Animalia,Mollusca,Gastropoda,Stylommatophora,Discidae,Discus,yes,
Disholcaspis quercusglobulus,440,1309645,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Disholcaspis,yes,
Disonycha glabrata,695,1047302,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Disonycha,yes,
Dissosteira carolina,5309,1712343,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Dissosteira,yes,
Dolichonyx oryzivorus,408701,2484417,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,yes,
Dolichovespula adulterina,339,1311825,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,yes,
Dolichovespula arenaria,2975,1311820,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,yes,
Dolichovespula maculata,7377,1311815,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,yes,
Dolomedes tenebrosus,2361,2150903,Animalia,Arthropoda,NA,Araneae,Pisauridae,Dolomedes,yes,
Donax gouldii,752,5189105,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,no,
Dorcaschema alternatum,263,1124068,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Dorcaschema,yes,
Doris montereyensis,1751,6519876,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,Doris,no,
Dorocordulia libera,1897,1429764,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Dorocordulia,yes,
Dromogomphus spoliatus,1865,1426436,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Dromogomphus,yes,
Dryas iulia,4444,5128034,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dryas,yes,
Drymaeus multilineatus,227,4304750,Animalia,Mollusca,Gastropoda,Stylommatophora,Bulimulidae,Drymaeus,yes,
Dryocosmus quercuspalustris,213,10611374,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Dryocosmus,yes,
Dryophytes chrysoscelis,4820,10863553,Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,yes,
Dryophytes cinereus,16509,10810025,Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,yes,
Dryophytes squirellus,4843,10843277,Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,yes,
Dryophytes versicolor,10153,10806364,Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,yes,
Dynastes tityus,1264,1074527,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Dynastes,yes,
Dysdera crocata,2142,2139331,Animalia,Arthropoda,NA,Araneae,Dysderidae,Dysdera,yes,
Dythemis fugax,1974,1429508,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Dythemis,yes,
Dythemis nigrescens,1504,1429507,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Dythemis,yes,
Dythemis velox,2938,1429503,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Dythemis,yes,
Eacles imperialis,5791,1865107,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Eacles,yes,
Eburia mutica,206,5997018,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Eburia,yes,
Ecdytolopha mana,317,1741131,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Ecdytolopha,yes,
Echinargus isola,4902,1924176,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Echinargus,yes,
Ectobius lapponicus,150,1998104,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Ectobius,yes,
Ectobius pallidus,153,1998119,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Ectobius,yes,
Efferia aestuans,1248,1659610,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Efferia,yes,
Egretta caerulea,979181,2480894,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,yes,
Egretta rufescens,178559,2480888,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,yes,
Egretta thula,2098419,2480873,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,yes,
Egretta tricolor,724511,2480881,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,yes,
Elanoides forficatus,141490,2480461,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanoides,yes,
Elanus leucurus,271604,2480367,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,yes,
Elaphria chalcedonia,1159,1780309,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Elaphria,yes,
Elaphria festivoides,476,1780414,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Elaphria,yes,
Elasmostethus cruciatus,1101,2079273,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Elasmostethus,yes,
Elasmucha lateralis,822,2079259,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Elasmucha,yes,
Eleodes acuticauda,488,8698067,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,yes,
Eleodes caudifera,256,9387859,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,yes,
Eleodes goryi,635,9432940,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,yes,
Eleodes obscura,1890,7809753,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,yes,
Eleodes osculans,904,8534167,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,yes,
Eleodes suturalis,271,9742567,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,yes,
Eleutherodactylus campi,696,2424063,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,yes,
Eleutherodactylus marnockii,350,2424267,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,yes,
Eleutherodactylus planirostris,1713,2424089,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,yes,Exotic
Elgaria coerulea,2434,2468254,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,yes,
Elgaria multicarinata,9266,2468262,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,yes,
Elkalyce comyntas,25862,1920900,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Elkalyce,yes,
Elliptio complanata,1853,2288334,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Elliptio,no,
Ellychnia corrusca,3910,1162878,Animalia,Arthropoda,Insecta,Coleoptera,Lampyridae,Ellychnia,yes,
Emerita analoga,1420,2225698,Animalia,Arthropoda,Malacostraca,Decapoda,Hippidae,Emerita,no,
Emerita talpoida,1018,2225699,Animalia,Arthropoda,Malacostraca,Decapoda,Hippidae,Emerita,no,
Empidonax alnorum,259882,2482809,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,yes,
Empidonax difficilis,344893,9568685,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,yes,
Empidonax flaviventris,137923,2482785,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,yes,
Empidonax hammondii,126350,2482800,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,yes,
Empidonax minimus,557895,2482791,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,yes,
Empidonax oberholseri,142262,2482803,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,yes,
Empidonax occidentalis,78899,2482805,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,yes,
Empidonax traillii,438375,2482786,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,yes,
Empidonax virescens,324630,2482802,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,yes,
Empidonax wrightii,80557,9585359,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,yes,
Empoasca fabae,3202,8061113,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Empoasca,yes,
Emydoidea blandingii,1884,2442885,Animalia,Chordata,Reptilia,Testudines,Emydidae,Emydoidea,yes,
Enallagma aspersum,3181,5051270,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,yes,
Enallagma basidens,4780,5051252,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,yes,
Enallagma carunculatum,3042,5051254,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,yes,
Enallagma civile,11930,5051321,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,yes,
Enallagma exsulans,3839,5051264,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,yes,
Enallagma geminatum,3772,5051299,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,yes,
Enallagma signatum,4537,5051305,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,yes,
Endrosis sarcitrella,222,1837172,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Endrosis,yes,
Ennomos subsignaria,645,1957870,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,yes,
Enoplognatha ovata,2980,2158077,Animalia,Arthropoda,NA,Araneae,Theridiidae,Enoplognatha,yes,
Ensatina eschscholtzii,6030,2431643,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Ensatina,yes,
Ensis leei,734,8485639,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,no,
Entomobrya intermedia,4318,2120815,Animalia,Arthropoda,Collembola,NA,Entomobryidae,Entomobrya,yes,
Entylia carinata,1178,2021152,Animalia,Arthropoda,Insecta,Hemiptera,Membracidae,Entylia,yes,
Epargyreus clarus,26689,1947915,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Epargyreus,yes,
Epiactis prolifera,730,2256759,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Epiactis,no,
Epiaeschna heros,2425,1425091,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Epiaeschna,yes,
Epicallima argenticinctella,1133,10511237,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Epicallima,yes,
Epimecis hortaria,2458,5149237,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epimecis,yes,
Episemasia cervinaria,231,1967127,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Episemasia,yes,
Epitheca petechialis,915,4302541,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Epitheca,yes,
Epitheca princeps,3434,4302543,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Epitheca,yes,
Eptesicus fuscus,2679,2432352,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,yes,
Eratigena duellica,536,7403210,Animalia,Arthropoda,NA,Araneae,Agelenidae,Eratigena,yes,
Eremnophila aureonotata,3635,1347370,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Eremnophila,yes,
Eremophila alpestris,951684,9415596,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Eremophila,yes,
Eresia aveyrana,2532,1895761,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Eresia,yes,
Erethizon dorsatus,10286,6066824,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Erethizon,yes,
Erinnyis ello,624,1864316,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Erinnyis,yes,
Erinnyis obscura,767,1864352,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Erinnyis,yes,
Eriophora ravilla,884,5171074,Animalia,Arthropoda,NA,Araneae,Araneidae,Eriophora,yes,
Eriophyes emarginatae,417,6913582,Animalia,Arthropoda,NA,Trombidiformes,Eriophyidae,Eriophyes,yes,
Eriophyes tiliae,532,6913497,Animalia,Arthropoda,NA,Trombidiformes,Eriophyidae,Eriophyes,yes,
Eris militaris,2389,5173576,Animalia,Arthropoda,NA,Araneae,Salticidae,Eris,yes,
Eristalinus aeneus,420,1542830,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalinus,yes,
Eristalinus taeniops,229,1542714,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalinus,yes,
Eristalis arbustorum,1787,1541146,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,yes,
Eristalis dimidiata,3079,1540070,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,yes,
Eristalis stipator,1195,1541299,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,yes,
Eristalis tenax,4032,1541217,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,yes,
Eristalis transversa,3066,1541270,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,yes,
Erpetogomphus designatus,1988,1426633,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Erpetogomphus,yes,
Erynnis baptisiae,3356,5977220,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis,yes,
Erynnis funeralis,2248,5977260,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis,yes,
Erynnis horatius,5525,5977216,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis,yes,
Erynnis juvenalis,2310,5977208,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis,yes,
Erynnis tristis,1281,5977259,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis,yes,
Erythemis collocata,2322,1429324,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Erythemis,yes,
Erythemis simplicicollis,54880,1429340,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Erythemis,yes,
Erythemis vesiculosa,2194,1429338,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Erythemis,yes,
Erythrodiplax umbrata,3638,1429049,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Erythrodiplax,yes,
Estigmene acrea,6240,1813415,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Estigmene,yes,
Euagrus chisoseus,41,2153114,Animalia,Arthropoda,NA,Araneae,Dipluridae,Euagrus,yes,
