"species","nobs","city","taxonKeys","Kingdom","Phylum","Class","Order","Family","Genus","assessmentId","internalTaxonId","redlistCategory","populationTrend","yearPublished"
"Coleonyx variegatus",18,"Tucson",2447244,"Animalia","Chordata","Reptilia","Squamata","Eublepharidae","Coleonyx",12739050,64039,"Least Concern","Stable",2007
"Colias eurytheme",78,"Austin",5137694,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias",125886133,125855825,"Least Concern","Increasing",2020
"Colias philodice",24,"Boston",5137672,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias",NA,NA,NA,NA,NA
"Colinus virginianus",12,"Omaha",9791464,"Animalia","Chordata","Aves","Galliformes","Odontophoridae","Colinus",95000808,22728956,"Near Threatened","Decreasing",2016
"Colletes inaequalis",13,"Columbus",1348821,"Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Colletes",NA,NA,NA,NA,NA
"Colonus hesperus",14,"Sacramento",8217818,"Animalia","Arthropoda",NA,"Araneae","Salticidae","Colonus",NA,NA,NA,NA,NA
"Coluber constrictor",23,"Jacksonville",6161776,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Coluber",3128579,63748,"Least Concern","Stable",2013
"Coluber flagellum",12,"Austin",4287637,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Coluber",NA,NA,NA,NA,NA
"Coluber lateralis",25,"Los Angeles",8202136,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Coluber",NA,NA,NA,NA,NA
"Columba livia",469,"Albuquerque",2495414,"Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba",155493121,22690066,"Least Concern","Decreasing",2019
"Columbina inca",26,"Austin",2495863,"Animalia","Chordata","Aves","Columbiformes","Columbidae","Columbina",93287355,22690762,"Least Concern","Increasing",2016
"Columbina passerina",12,"Fresno",2495869,"Animalia","Chordata","Aves","Columbiformes","Columbidae","Columbina",139715551,22690774,"Least Concern","Stable",2020
"Conoderus bellus",11,"Houston",6984247,"Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","Conoderus",NA,NA,NA,NA,NA
"Conoderus lividus",11,"Philadelphia",6984229,"Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","Conoderus",NA,NA,NA,NA,NA
"Contia tenuis",12,"Oakland",2455975,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Contia",90067130,90066866,"Least Concern","Stable",2019
"Contopus cooperi",15,"Albuquerque",5229743,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Contopus",110734937,22699787,"Near Threatened","Decreasing",2017
"Contopus pertinax",12,"Tucson",5229730,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Contopus",93748222,22699798,"Least Concern","Decreasing",2016
"Contopus sordidulus",43,"Albuquerque",5229754,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Contopus",93748966,22699811,"Least Concern","Decreasing",2016
"Contopus virens",19,"Atlanta",5229734,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Contopus",93749255,22699816,"Least Concern","Decreasing",2016
"Copaeodes minima",16,"Austin",1942526,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Copaeodes",NA,NA,NA,NA,NA
"Copelatus glyphicus",20,"Houston",1038642,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Copelatus",NA,NA,NA,NA,NA
"Copestylum mexicanum",11,"Austin",1543768,"Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Copestylum",NA,NA,NA,NA,NA
"Cophosaurus texanus",62,"El Paso",2451472,"Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Cophosaurus",12733140,64062,"Least Concern","Stable",2007
"Coragyps atratus",102,"Atlanta",2481942,"Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Coragyps",93624950,22697624,"Least Concern","Increasing",2016
"Corbicula fluminea",12,"Austin",8190231,"Animalia","Mollusca","Bivalvia","Venerida","Cyrenidae","Corbicula",735697,155736,"Least Concern","Increasing",2012
"Cordulegaster dorsalis",15,"Oakland",1421176,"Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster",65836214,50968962,"Least Concern","Stable",2017
"Cornu aspersum",35,"Albuquerque",5858758,"Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Cornu",NA,NA,NA,NA,NA
"Corvus brachyrhynchos",428,"Albuquerque",2482507,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",131945410,22705990,"Least Concern","Increasing",2018
"Corvus caurinus",731,"Vancouver",2482523,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",94044793,22705986,"Least Concern","Increasing",2016
"Corvus corax",227,"Albuquerque",2482492,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",113271893,22706068,"Least Concern","Increasing",2017
"Corvus cryptoleucus",25,"Albuquerque",2482500,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",94048555,22706055,"Least Concern","Stable",2016
"Corvus ossifragus",107,"Atlanta",2482481,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",94045235,22705993,"Least Concern","Increasing",2016
"Corynactis californica",13,"San Diego",2260687,"Animalia","Cnidaria","Anthozoa","Corallimorpharia","Corallimorphidae","Corynactis",NA,NA,NA,NA,NA
"Cosmopepla lintneriana",17,"Boston",2078882,"Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Cosmopepla",NA,NA,NA,NA,NA
"Costaconvexa centrostrigaria",24,"Austin",4524223,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Costaconvexa",NA,NA,NA,NA,NA
"Cotinis mutabilis",74,"Long Beach",1077513,"Animalia","Arthropoda","Insecta","Coleoptera","Cetoniidae","Cotinis",NA,NA,NA,NA,NA
"Cotinis nitida",19,"Austin",1077495,"Animalia","Arthropoda","Insecta","Coleoptera","Cetoniidae","Cotinis",NA,NA,NA,NA,NA
"Crambus agitatellus",53,"Baltimore",1880083,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Crambus",NA,NA,NA,NA,NA
"Crambus laqueatellus",16,"Toronto",1880078,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Crambus",NA,NA,NA,NA,NA
"Crambus praefectellus",27,"Boston",1880132,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Crambus",NA,NA,NA,NA,NA
"Crassostrea virginica",13,"Boston",2286079,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea",NA,NA,NA,NA,NA
"Crematogaster laeviuscula",21,"Austin",1324376,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Crematogaster",NA,NA,NA,NA,NA
"Crepidula fornicata",36,"Boston",5192789,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula",NA,NA,NA,NA,NA
"Crocodylus acutus",19,"Miami",2441329,"Animalia","Chordata","Reptilia","Crocodylia","Crocodylidae","Crocodylus",3043244,5659,"Vulnerable","Increasing",2012
"Crotalus atrox",39,"Austin",2444356,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus",12763519,64311,"Least Concern","Stable",2007
"Crotalus oreganus",16,"Long Beach",2444446,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus",12769216,64326,"Least Concern","Stable",2007
"Crotalus pyrrhus",23,"Phoenix",9290992,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus",NA,NA,NA,NA,NA
"Crotalus ruber",41,"San Diego",2444393,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus",12771154,64331,"Least Concern","Decreasing",2007
"Crotalus viridis",11,"Denver",8945077,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus",12771847,64339,"Least Concern","Stable",2007
"Crotaphytus collaris",19,"Albuquerque",2470616,"Animalia","Chordata","Reptilia","Squamata","Crotaphytidae","Crotaphytus",12734318,64007,"Least Concern","Stable",2007
"Crucibulum spinosum",13,"San Diego",5192769,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crucibulum",NA,NA,NA,NA,NA
"Cryptothelea gloverii",13,"Austin",1854143,"Animalia","Arthropoda","Insecta","Lepidoptera","Psychidae","Cryptothelea",NA,NA,NA,NA,NA
"Ctenolepisma lineata",11,"Los Angeles",1421095,"Animalia","Arthropoda","Insecta","Zygentoma","Lepismatidae","Ctenolepisma",NA,NA,NA,NA,NA
"Ctenolepisma longicaudata",19,"San Antonio",1421100,"Animalia","Arthropoda","Insecta","Zygentoma","Lepismatidae","Ctenolepisma",NA,NA,NA,NA,NA
"Ctenosaura similis",118,"Miami",2459603,"Animalia","Chordata","Reptilia","Squamata","Iguanidae","Ctenosaura",73611567,174480,"Least Concern","Stable",2015
"Ctenucha virginica",16,"Halifax",1814843,"Animalia","Arthropoda","Insecta","Lepidoptera","Arctiidae","Ctenucha",NA,NA,NA,NA,NA
"Cucumaria miniata",48,"Seattle",5188234,"Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria",NA,NA,NA,NA,NA
"Cuerna costalis",13,"Dallas",2031659,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Cuerna",NA,NA,NA,NA,NA
"Culex pipiens",20,"Indianapolis",1652991,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culex",NA,NA,NA,NA,NA
"Culex restuans",20,"Indianapolis",1652927,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culex",NA,NA,NA,NA,NA
"Cultellunguis americanus",13,"Oakland",6067020,"Animalia","Arthropoda","Insecta","Coleoptera","Cantharidae","Cultellunguis",NA,NA,NA,NA,NA
"Curtara insularis",13,"Austin",2041870,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Curtara",NA,NA,NA,NA,NA
"Cyanea ferruginea",21,"Seattle",5185438,"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea",NA,NA,NA,NA,NA
"Cyaniris neglecta",19,"Baltimore",5139064,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Cyaniris",NA,NA,NA,NA,NA
"Cyanocitta cristata",443,"Atlanta",2482593,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta",94027257,22705611,"Least Concern","Stable",2016
"Cyanocitta stelleri",16,"Albuquerque",2482598,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta",118809071,22705614,"Least Concern","Increasing",2017
"Cyanoplax hartwegii",17,"Long Beach",4305098,"Animalia","Mollusca","Polyplacophora","Chitonida","Lepidochitonidae","Cyanoplax",NA,NA,NA,NA,NA
"Cycloneda polita",27,"Oakland",1043108,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Cycloneda",NA,NA,NA,NA,NA
"Cycloneda sanguinea",27,"Austin",1043105,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Cycloneda",NA,NA,NA,NA,NA
"Cyclophora nanaria",25,"Austin",5149753,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Cyclophora",NA,NA,NA,NA,NA
"Cyclosa turbinata",14,"San Diego",2158261,"Animalia","Arthropoda",NA,"Araneae","Araneidae","Cyclosa",NA,NA,NA,NA,NA
"Cyclosa walckenaeri",11,"Miami",2158178,"Animalia","Arthropoda",NA,"Araneae","Araneidae","Cyclosa",NA,NA,NA,NA,NA
"Cydalima perspectalis",43,"Toronto",4532122,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Cydalima",NA,NA,NA,NA,NA
"Cydia caryana",11,"Dallas",1737904,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Cydia",NA,NA,NA,NA,NA
"Cydia latiferreana",38,"Austin",1737964,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Cydia",NA,NA,NA,NA,NA
"Cygnus buccinator",59,"Calgary",2498345,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus",92832376,22679859,"Least Concern","Increasing",2016
"Cygnus columbianus",22,"Baltimore",2498338,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus",89644875,22679862,"Least Concern","Unknown",2016
"Cygnus olor",25,"Austin",2498343,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus",85946855,22679839,"Least Concern","Increasing",2016
"Cymaenes tripunctus",12,"Miami",1947037,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Cymaenes",NA,NA,NA,NA,NA
"Cynanthus latirostris",184,"Tucson",5228542,"Animalia","Chordata","Aves","Apodiformes","Trochilidae","Cynanthus",94902093,22725767,"Least Concern","Increasing",2016
"Cynips douglasi",14,"Sacramento",1309670,"Animalia","Arthropoda","Insecta","Hymenoptera","Cynipidae","Cynips",NA,NA,NA,NA,NA
"Cynomys ludovicianus",19,"Colorado Springs",2437232,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys",115080297,6091,"Least Concern","Decreasing",2016
"Cysteodemus wislizeni",14,"Albuquerque",1046246,"Animalia","Arthropoda","Insecta","Coleoptera","Meloidae","Cysteodemus",NA,NA,NA,NA,NA
"Cystiphora sonchi",13,"Calgary",9811001,"Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","Cystiphora",NA,NA,NA,NA,NA
"Daktulosphaira vitifoliae",13,"Detroit",2049512,"Animalia","Arthropoda","Insecta","Hemiptera","Phylloxeridae","Daktulosphaira",NA,NA,NA,NA,NA
"Danaus eresimus",11,"San Antonio",5714302,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus",NA,NA,NA,NA,NA
"Danaus gilippus",150,"Austin",5714299,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus",846007,160668,"Least Concern","Unknown",2021
"Danaus plexippus",42,"Atlanta",5133088,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus",NA,NA,NA,NA,NA
"Dasychira meridionalis",17,"Miami",1820940,"Animalia","Arthropoda","Insecta","Lepidoptera","Lymantriidae","Dasychira",NA,NA,NA,NA,NA
"Dasymutilla occidentalis",13,"Fort Worth",1312356,"Animalia","Arthropoda","Insecta","Hymenoptera","Mutillidae","Dasymutilla",NA,NA,NA,NA,NA
"Dasymutilla vestita",20,"Albuquerque",10232545,"Animalia","Arthropoda","Insecta","Hymenoptera","Mutillidae","Dasymutilla",NA,NA,NA,NA,NA
"Dasypus novemcinctus",99,"Austin",2440779,"Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Dasypus",47440785,6290,"Least Concern","Stable",2014
"Deidamia inscriptum",12,"Hamilton",5124050,"Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Deidamia",NA,NA,NA,NA,NA
"Delphinia picta",12,"Atlanta",1523573,"Animalia","Arthropoda","Insecta","Diptera","Ulidiidae","Delphinia",NA,NA,NA,NA,NA
"Dendragapus fuliginosus",14,"Vancouver",7340146,"Animalia","Chordata","Aves","Galliformes","Phasianidae","Dendragapus",95095286,22734695,"Least Concern","Decreasing",2016
"Dendraster excentricus",29,"Long Beach",2279084,"Animalia","Echinodermata","Echinoidea","Clypeasteroida","Dendrasteridae","Dendraster",NA,NA,NA,NA,NA
"Dendrocygna autumnalis",69,"Austin",2498393,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Dendrocygna",131907111,22679780,"Least Concern","Increasing",2018
"Dendronotus iris",13,"San Diego",2292075,"Animalia","Mollusca","Gastropoda","Nudibranchia","Dendronotidae","Dendronotus",NA,NA,NA,NA,NA
"Dermacentor variabilis",11,"Boston",2183465,"Animalia","Arthropoda",NA,"Ixodida","Ixodidae","Dermacentor",NA,NA,NA,NA,NA
"Dermasterias imbricata",22,"Vancouver",2271961,"Animalia","Echinodermata","Asteroidea","Valvatida","Asteropseidae","Dermasterias",NA,NA,NA,NA,NA
"Derobrachus hovorei",13,"Phoenix",1100102,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Derobrachus",NA,NA,NA,NA,NA
"Deroceras laeve",34,"Long Beach",5781358,"Animalia","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","Deroceras",NA,NA,NA,NA,NA
"Deroceras reticulatum",13,"Baltimore",5781277,"Animalia","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","Deroceras",NA,NA,NA,NA,NA
"Desmognathus conanti",23,"Nashville",2431237,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus",NA,NA,NA,NA,NA
"Diabrotica undecimpunctata",99,"Austin",1048501,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Diabrotica",NA,NA,NA,NA,NA
"Diadophis punctatus",25,"Atlanta",8763701,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Diadophis",12714288,63769,"Least Concern","Stable",2007
"Diaprepes abbreviatus",15,"Houston",5010133,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Diaprepes",NA,NA,NA,NA,NA
"Diastictis fracturalis",21,"Austin",5127378,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Diastictis",NA,NA,NA,NA,NA
"Diaulula sandiegensis",13,"San Diego",2292473,"Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Diaulula",NA,NA,NA,NA,NA
"Dicamptodon ensatus",16,"San Francisco",2432020,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Dicamptodon",11866765,59080,"Near Threatened","Unknown",2004
"Dicamptodon tenebrosus",11,"Portland",2432022,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Dicamptodon",78906025,59081,"Least Concern","Stable",2015
"Dichromorpha viridis",24,"Dallas",1704465,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Dichromorpha",NA,NA,NA,NA,NA
"Dicromantispa interrupta",15,"Austin",2107995,"Animalia","Arthropoda","Insecta","Neuroptera","Mantispidae","Dicromantispa",NA,NA,NA,NA,NA
"Dicymolomia julianalis",11,"Dallas",1884997,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Dicymolomia",NA,NA,NA,NA,NA
"Didelphis virginiana",14,"Atlanta",2439923,"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis",22176259,40502,"Least Concern","Increasing",2016
"Didymops transversa",14,"Austin",5052244,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Didymops",65836234,50969974,"Least Concern","Stable",2017
"Dioctria hyalipennis",70,"Boston",8373618,"Animalia","Arthropoda","Insecta","Diptera","Asilidae","Dioctria",NA,NA,NA,NA,NA
"Discus rotundatus",25,"Boston",2294144,"Animalia","Mollusca","Gastropoda","Stylommatophora","Discidae","Discus",NA,NA,NA,NA,NA
"Disholcaspis quercusglobulus",31,"Boston",1309645,"Animalia","Arthropoda","Insecta","Hymenoptera","Cynipidae","Disholcaspis",NA,NA,NA,NA,NA
"Disonycha glabrata",29,"New York",1047302,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Disonycha",NA,NA,NA,NA,NA
"Dissosteira carolina",12,"Baltimore",1712343,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Dissosteira",NA,NA,NA,NA,NA
"Dolichonyx oryzivorus",40,"Hamilton",2484417,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Dolichonyx",94863313,22724367,"Least Concern","Decreasing",2016
"Dolichovespula adulterina",15,"Boston",1311825,"Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae","Dolichovespula",NA,NA,NA,NA,NA
"Dolichovespula arenaria",59,"Boston",1311820,"Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae","Dolichovespula",NA,NA,NA,NA,NA
"Dolichovespula maculata",14,"Baltimore",1311815,"Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae","Dolichovespula",NA,NA,NA,NA,NA
"Dolomedes tenebrosus",11,"Baltimore",2150903,"Animalia","Arthropoda",NA,"Araneae","Pisauridae","Dolomedes",NA,NA,NA,NA,NA
"Donax gouldii",30,"Long Beach",5189105,"Animalia","Mollusca","Bivalvia","Cardiida","Donacidae","Donax",NA,NA,NA,NA,NA
"Dorcaschema alternatum",13,"Austin",1124068,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Dorcaschema",NA,NA,NA,NA,NA
"Doris montereyensis",13,"Oakland",6519876,"Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris",NA,NA,NA,NA,NA
"Dorocordulia libera",12,"Ottawa - Gatineau",1429764,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Dorocordulia",65836244,50970083,"Least Concern","Stable",2017
"Dromogomphus spoliatus",38,"Austin",1426436,"Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Dromogomphus",65836379,51178659,"Least Concern","Stable",2017
"Dryas iulia",18,"Austin",5128034,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Dryas",NA,NA,NA,NA,NA
"Drymaeus multilineatus",35,"Miami",4304750,"Animalia","Mollusca","Gastropoda","Stylommatophora","Bulimulidae","Drymaeus",NA,NA,NA,NA,NA
"Dryobates villosus",105,"Albuquerque",10211179,"Animalia","Chordata","Aves","Piciformes","Picidae","Dryobates",NA,NA,NA,NA,NA
"Dryocopus pileatus",123,"Atlanta",5228824,"Animalia","Chordata","Aves","Piciformes","Picidae","Dryocopus",NA,NA,NA,NA,NA
"Dryocosmus quercuspalustris",19,"Boston",10611374,"Animalia","Arthropoda","Insecta","Hymenoptera","Cynipidae","Dryocosmus",NA,NA,NA,NA,NA
"Dryophytes chrysoscelis",37,"Atlanta",10863553,"Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes",112712686,55448,"Least Concern","Stable",2017
"Dryophytes cinereus",28,"Atlanta",10810025,"Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes",112713111,55449,"Least Concern","Stable",2017
"Dryophytes squirellus",12,"Houston",10843277,"Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes",112715025,55662,"Least Concern","Stable",2017
"Dryophytes versicolor",16,"Boston",10806364,"Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes",112715618,55687,"Least Concern","Stable",2017
"Dumetella carolinensis",85,"Atlanta",2494936,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Dumetella",94272855,22711013,"Least Concern","Stable",2016
"Dynastes tityus",16,"Charlotte",1074527,"Animalia","Arthropoda","Insecta","Coleoptera","Dynastidae","Dynastes",NA,NA,NA,NA,NA
"Dysdera crocata",14,"Boston",2139331,"Animalia","Arthropoda",NA,"Araneae","Dysderidae","Dysdera",NA,NA,NA,NA,NA
"Dythemis fugax",130,"Austin",1429508,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Dythemis",80687607,165087,"Least Concern","Stable",2017
"Dythemis nigrescens",41,"Austin",1429507,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Dythemis",80696403,51273184,"Least Concern","Stable",2017
"Dythemis velox",71,"Austin",1429503,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Dythemis",80680387,165091,"Least Concern","Increasing",2017
"Eacles imperialis",17,"Austin",1865107,"Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Eacles",NA,NA,NA,NA,NA
"Eburia mutica",14,"Austin",5997018,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Eburia",NA,NA,NA,NA,NA
"Ecdytolopha mana",18,"Austin",1741131,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Ecdytolopha",NA,NA,NA,NA,NA
"Echinargus isola",47,"Austin",1924176,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Echinargus",NA,NA,NA,NA,NA
"Ectobius lapponicus",11,"Boston",1998104,"Animalia","Arthropoda","Insecta","Blattodea","Ectobiidae","Ectobius",NA,NA,NA,NA,NA
"Ectobius pallidus",30,"Boston",1998119,"Animalia","Arthropoda","Insecta","Blattodea","Ectobiidae","Ectobius",NA,NA,NA,NA,NA
"Efferia aestuans",54,"Boston",1659610,"Animalia","Arthropoda","Insecta","Diptera","Asilidae","Efferia",NA,NA,NA,NA,NA
"Egretta caerulea",34,"Austin",2480894,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta",118857172,22696944,"Least Concern","Decreasing",2017
"Egretta rufescens",15,"Jacksonville",2480888,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta",154076472,22696916,"Near Threatened","Decreasing",2020
"Egretta thula",56,"Albuquerque",2480873,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta",93595536,22696974,"Least Concern","Increasing",2016
"Egretta tricolor",27,"Dallas",2480881,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta",93594077,22696931,"Least Concern","Stable",2016
"Elanoides forficatus",113,"Jacksonville",2480461,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Elanoides",93484824,22695017,"Least Concern","Increasing",2016
"Elanus leucurus",14,"El Paso",2480367,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Elanus",93486216,22695036,"Least Concern","Increasing",2016
"Elaphria chalcedonia",25,"Austin",1780309,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Elaphria",NA,NA,NA,NA,NA
"Elaphria festivoides",11,"Austin",1780414,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Elaphria",NA,NA,NA,NA,NA
"Elasmostethus cruciatus",14,"Halifax",2079273,"Animalia","Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmostethus",NA,NA,NA,NA,NA
"Elasmucha lateralis",19,"Halifax",2079259,"Animalia","Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmucha",NA,NA,NA,NA,NA
"Eleodes acuticauda",18,"San Diego",8698067,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes",NA,NA,NA,NA,NA
"Eleodes caudifera",11,"Albuquerque",9387859,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes",NA,NA,NA,NA,NA
"Eleodes goryi",30,"Austin",9432940,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes",NA,NA,NA,NA,NA
"Eleodes obscura",12,"Albuquerque",7809753,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes",NA,NA,NA,NA,NA
"Eleodes osculans",24,"Long Beach",8534167,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes",NA,NA,NA,NA,NA
"Eleodes suturalis",11,"Denver",9742567,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes",NA,NA,NA,NA,NA
"Eleutherodactylus campi",30,"Austin",2424063,"Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus",171706142,166723659,"Least Concern","Stable",2020
"Eleutherodactylus marnockii",12,"Austin",2424267,"Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus",11529774,56744,"Least Concern","Stable",2010
"Eleutherodactylus planirostris",51,"Miami",2424089,"Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus",54370037,56864,"Least Concern","Increasing",2021
"Elgaria coerulea",37,"Oakland",2468254,"Animalia","Chordata","Reptilia","Squamata","Anguidae","Elgaria",12706801,63701,"Least Concern","Stable",2007
"Elgaria multicarinata",167,"Long Beach",2468262,"Animalia","Chordata","Reptilia","Squamata","Anguidae","Elgaria",12707115,63703,"Least Concern","Decreasing",2007
"Elkalyce comyntas",22,"Atlanta",1920900,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Elkalyce",NA,NA,NA,NA,NA
