"datasetKey","scientificName","acceptedScientificName","kingdom","genus","species","decimalLongitude","decimalLatitude","year","month","day","eventDate","verbatimEventDate","coordinateUncertaintyInMeters"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Pleopeltis michauxiana (Weath.) Hickey & Sprunt","Pleopeltis michauxiana (Weath.) Hickey & Sprunt","Plantae","Pleopeltis","Pleopeltis michauxiana",-86.553275,34.728928,2020,1,1,"2020-01-01T14:29:29","Wed Jan 01 2020 14:29:29 GMT-0600 (CST)",6
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Castor canadensis Kuhl, 1820","Castor canadensis Kuhl, 1820","Animalia","Castor","Castor canadensis",-87.702015,41.969221,2020,1,1,"2020-01-01T15:43:13","Wed Jan 01 2020 15:43:13 GMT-0600 (CST)",10
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Phytolacca americana L.","Phytolacca americana L.","Plantae","Phytolacca","Phytolacca americana",-73.511367,40.689137,2020,1,1,"2020-01-01T09:06:19","Wed Jan 01 2020 09:06:19 GMT-0500 (EST)",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Anser albifrons (Scopoli, 1769)","Anser albifrons (Scopoli, 1769)","Animalia","Anser","Anser albifrons",-87.98606,42.281519,2020,1,1,"2020-01-01T08:09:00","2020/01/01 8:09 AM CST",152
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Chrysosplenium americanum Schwein. ex Hook.","Chrysosplenium americanum Schwein. ex Hook.","Plantae","Chrysosplenium","Chrysosplenium americanum",-81.265572,43.043393,2020,1,2,"2020-01-02T16:33:00","2020/01/02 4:33 PM EST",8
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Symplocarpus foetidus (L.) Salisb. ex W.P.C.Barton","Symplocarpus foetidus (L.) Salisb. ex W.P.C.Barton","Plantae","Symplocarpus","Symplocarpus foetidus",-81.267199,43.043527,2020,1,2,"2020-01-02T16:54:00","2020/01/02 4:54 PM EST",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Procyon lotor (Linnaeus, 1758)","Procyon lotor (Linnaeus, 1758)","Animalia","Procyon","Procyon lotor",-71.32988,42.514915,2020,1,1,"2020-01-01T09:21:51","2020-01-01 9:21:51 AM EST",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Dryocopus pileatus (Linnaeus, 1758)","Dryocopus pileatus (Linnaeus, 1758)","Animalia","Dryocopus","Dryocopus pileatus",-72.509811,43.137856,2020,1,1,"2020-01-01T11:18:00","2020/01/01 11:18 AM EST",1024
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Smilax rotundifolia L.","Smilax rotundifolia L.","Plantae","Smilax","Smilax rotundifolia",-89.93222,35.216061,2020,1,1,"2020-01-01T10:24:08","2020-01-01 10:24:08 AM CST",104
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Tsuga canadensis Carrière","Tsuga canadensis Carrière","Plantae","Tsuga","Tsuga canadensis",-75.903744,41.288933,2020,1,1,"2020-01-01T11:41:47","2020-01-01 11:41:47 AM EST",8
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Alliaria petiolata (M.Bieb.) Cavara & Grande","Alliaria petiolata (M.Bieb.) Cavara & Grande","Plantae","Alliaria","Alliaria petiolata",-72.187351,41.761857,2020,1,1,"2020-01-01T12:12:59","Wed Jan 01 2020 12:12:59 GMT-0500 (EST)",8
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Bucephala albeola (Linnaeus, 1758)","Bucephala albeola (Linnaeus, 1758)","Animalia","Bucephala","Bucephala albeola",-70.276147,41.632564,2020,1,1,"2020-01-01T07:55:00","2020/01/01 7:55 AM EST",61
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Thryothorus ludovicianus (Latham, 1790)","Thryothorus ludovicianus (Latham, 1790)","Animalia","Thryothorus","Thryothorus ludovicianus",-82.479357,36.49746,2020,1,1,"2020-01-01T11:39:00","2020/01/01 11:39 AM EST",2170
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Symplocarpus foetidus (L.) Salisb. ex W.P.C.Barton","Symplocarpus foetidus (L.) Salisb. ex W.P.C.Barton","Plantae","Symplocarpus","Symplocarpus foetidus",-75.987013,39.916205,2020,1,1,"2020-01-01T10:34:03","Wed Jan 01 2020 10:34:03 GMT-0500 (EST)",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Sassafras albidum (Nutt.) Nees","Sassafras albidum (Nutt.) Nees","Plantae","Sassafras","Sassafras albidum",-78.837429,36.057738,2020,1,1,"2020-01-01T16:15:08","Wed Jan 01 2020 16:15:08 GMT-0500 (EST)",297
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Lamium amplexicaule L.","Lamium amplexicaule L.","Plantae","Lamium","Lamium amplexicaule",-78.152491,39.182606,2020,1,1,"2020-01-01T13:56:33","Wed Jan 01 2020 13:56:33 GMT-0500 (EST)",26
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Haemorhous mexicanus (P.L.Statius Müller, 1776)","Haemorhous mexicanus (P.L.Statius Müller, 1776)","Animalia","Haemorhous","Haemorhous mexicanus",-87.684907,42.078423,2020,1,1,"2020-01-01T16:02:24","Wed Jan 01 2020 16:02:24 GMT-0600 (CST)",5
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Poecile atricapillus (Linnaeus, 1766)","Poecile atricapillus (Linnaeus, 1766)","Animalia","Poecile","Poecile atricapillus",-91.231025,43.728471,2020,1,1,"2020-01-01T00:00:00","2020/01/01",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Cryptotaenia canadensis DC.","Cryptotaenia canadensis DC.","Plantae","Cryptotaenia","Cryptotaenia canadensis",-89.618108,39.87133,2020,1,1,"2020-01-01T13:29:00","2020/01/01 1:29 PM CST",15
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris Linnaeus, 1758","Animalia","Sturnus","Sturnus vulgaris",-74.532786,40.602821,2020,1,1,"2020-01-01T11:09:00","2020/01/01 11:09 AM EST",8
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ligustrum vulgare L.","Syringa vulgaris L.","Plantae","Syringa","Syringa vulgaris",-81.278668,43.03461,2020,1,1,"2020-01-01T15:52:00","2020/01/01 3:52 PM EST",8
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Circus hudsonius (Linnaeus, 1766)","Circus hudsonius (Linnaeus, 1766)","Animalia","Circus","Circus hudsonius",-83.18219,40.176977,2020,1,1,"2020-01-01T09:30:26","Wed Jan 01 2020 09:30:26 GMT-0500 (EST)",28000
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Mitchella repens L.","Mitchella repens L.","Plantae","Mitchella","Mitchella repens",-74.999408,39.835284,2020,1,1,"2020-01-01T16:49:00","2020/01/01 4:49 PM EST",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Anas platyrhynchos platyrhynchos","Anas platyrhynchos platyrhynchos","Animalia","Anas","Anas platyrhynchos",-74.997429,39.835281,2020,1,1,"2020-01-01T17:19:00","2020/01/01 5:19 PM EST",61
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Leonurus cardiaca L.","Leonurus cardiaca L.","Plantae","Leonurus","Leonurus cardiaca",-74.125719,41.004569,2020,1,1,"2020-01-01T13:19:21","Wed Jan 01 2020 13:19:21 GMT-0500 (EST)",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Thuidium delicatulum W.P.Schimper, 1852","Thuidium delicatulum W.P.Schimper, 1852","Plantae","Thuidium","Thuidium delicatulum",-86.522696,34.733361,2020,1,1,"2020-01-01T14:03:44","Wed Jan 01 2020 14:03:44 GMT-0600 (CST)",357
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Dryobates pubescens (Linnaeus, 1766)","Dendrocopos pubescens (Linnaeus, 1758)","Animalia","Dendrocopos","Dendrocopos pubescens",-84.02194,39.567841,2020,1,1,"2020-01-01T17:45:00","2020/01/01 5:45 PM EST",52
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ligustrum sinense Lour.","Ligustrum sinense Lour.","Plantae","Ligustrum","Ligustrum sinense",-86.237434,35.874137,2020,1,1,"2020-01-01T15:14:28","Wed Jan 01 2020 15:14:28 GMT-0600 (CST)",5
