"datasetKey","scientificName","acceptedScientificName","kingdom","genus","species","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","eventDate","verbatimEventDate"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-81.355737,41.064506,10,2019,7,8,"2019-07-08T19:33:17","Mon Jul 08 2019 19:33:17 GMT-0400 (EDT)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-76.96489,44.603595,NA,2019,8,17,"2019-08-17T03:11:00","2019/08/17 3:11 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-78.894256,46.063519,6,2019,8,26,"2019-08-26T08:36:00","2019/08/26 8:36 AM EDT"
"7bd65a7a-f762-11e1-a439-00145eb45e9a","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-90.113519,36.722296,NA,2019,8,15,"2019-08-15T00:00:00",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-78.505712,45.575327,4,2019,9,7,"2019-09-07T09:25:00","2019/09/07 9:25 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-85.768552,44.843051,5,2019,9,2,"2019-09-02T17:30:17","Mon Sep 02 2019 17:30:17 GMT-0400 (EDT)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-78.050938,44.919485,NA,2018,7,6,"2018-07-06T11:25:00","2018/07/06 11:25 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-81.21717,41.230962,NA,2018,7,18,"2018-07-18T09:46:09","Wed Jul 18 2018 09:46:09 GMT-0400 (EDT)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-88.343404,48.519106,8,2018,7,24,"2018-07-24T15:48:35","Tue Jul 24 2018 15:48:35 GMT-0400 (EDT)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-81.628904,45.046436,27222,2018,7,28,"2018-07-28T14:29:00","2018/07/28 2:29 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-83.908343,46.923578,8,2018,7,31,"2018-07-31T14:28:52","2018-07-31 2:28:52 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-72.12957,44.644676,27285,2018,7,30,"2018-07-30T00:00:00","2018-07-30"
